country_or_region;year;variable;generation_twh;percent_energy
World;2000;Bioenergy;148.41;
World;2000;Clean;5361.92;
World;2000;Coal;5718.94;
World;2000;Fossil;9609.98;
World;2000;Gas;2717.7;
World;2000;Hydro;2621.47;
World;2000;Nuclear;2507.43;
World;2000;Other Fossil;1173.34;
World;2000;Other Renewables;52.37;
World;2000;Solar;1.08;
World;2000;Wind;31.16;
World;2000;Wind and solar;32.24;
World;2001;Bioenergy;142.9;
World;2001;Clean;5369.87;
World;2001;Coal;5801.76;
World;2001;Fossil;9826.59;
World;2001;Gas;2867.51;
World;2001;Hydro;2561.15;
World;2001;Nuclear;2573.71;
World;2001;Other Fossil;1157.32;
World;2001;Other Renewables;52.6;
World;2001;Solar;1.35;
World;2001;Wind;38.16;
World;2001;Wind and solar;39.51;
World;2002;Bioenergy;156.22;
World;2002;Clean;5467.41;
World;2002;Coal;6058.69;
World;2002;Fossil;10265.9;
World;2002;Gas;3071.37;
World;2002;Hydro;2601.49;
World;2002;Nuclear;2601.89;
World;2002;Other Fossil;1135.84;
World;2002;Other Renewables;54.08;
World;2002;Solar;1.69;
World;2002;Wind;52.04;
World;2002;Wind and solar;53.73;
World;2003;Bioenergy;167.59;
World;2003;Clean;5469.04;
World;2003;Coal;6464.1;
World;2003;Fossil;10822.91;
World;2003;Gas;3203.84;
World;2003;Hydro;2602.17;
World;2003;Nuclear;2577.71;
World;2003;Other Fossil;1154.97;
World;2003;Other Renewables;56.07;
World;2003;Solar;2.07;
World;2003;Wind;63.43;
World;2003;Wind and solar;65.5;
World;2004;Bioenergy;184.57;
World;2004;Clean;5810.03;
World;2004;Coal;6697.23;
World;2004;Fossil;11283.25;
World;2004;Gas;3445.59;
World;2004;Hydro;2796.82;
World;2004;Nuclear;2682.73;
World;2004;Other Fossil;1140.43;
World;2004;Other Renewables;57.94;
World;2004;Solar;2.71;
World;2004;Wind;85.26;
World;2004;Wind and solar;87.97;
World;2005;Bioenergy;208.44;
World;2005;Clean;5957.09;
World;2005;Coal;7044.92;
World;2005;Fossil;11806.89;
World;2005;Gas;3619.81;
World;2005;Hydro;2895.29;
World;2005;Nuclear;2686.95;
World;2005;Other Fossil;1142.16;
World;2005;Other Renewables;58.74;
World;2005;Solar;3.78;
World;2005;Wind;103.89;
World;2005;Wind and solar;107.67;
World;2006;Bioenergy;221.65;
World;2006;Clean;6143.16;
World;2006;Coal;7442.89;
World;2006;Fossil;12328.66;
World;2006;Gas;3835.74;
World;2006;Hydro;3002.08;
World;2006;Nuclear;2721.42;
World;2006;Other Fossil;1050.03;
World;2006;Other Renewables;60.11;
World;2006;Solar;5.11;
World;2006;Wind;132.79;
World;2006;Wind and solar;137.9;
World;2007;Bioenergy;244.16;
World;2007;Clean;6198.07;
World;2007;Coal;7936.45;
World;2007;Fossil;13159.64;
World;2007;Gas;4148.18;
World;2007;Hydro;3046.29;
World;2007;Nuclear;2666.92;
World;2007;Other Fossil;1075.01;
World;2007;Other Renewables;62.87;
World;2007;Solar;6.92;
World;2007;Wind;170.91;
World;2007;Wind and solar;177.83;
World;2008;Bioenergy;259.69;
World;2008;Clean;6444.37;
World;2008;Coal;7933.5;
World;2008;Fossil;13215.76;
World;2008;Gas;4252.14;
World;2008;Hydro;3231.24;
World;2008;Nuclear;2656.04;
World;2008;Other Fossil;1030.12;
World;2008;Other Renewables;65.97;
World;2008;Solar;11.36;
World;2008;Wind;220.07;
World;2008;Wind and solar;231.43;
World;2009;Bioenergy;281.05;
World;2009;Clean;6492.81;
World;2009;Coal;7823.33;
World;2009;Fossil;13068.67;
World;2009;Gas;4288.49;
World;2009;Hydro;3229.67;
World;2009;Nuclear;2619;
World;2009;Other Fossil;956.85;
